Ders Adı,Öğretmen,Sınav Tarihi,Açıklama
Matematik,Ahmet Yılmaz,2024-10-19,vize sınavı tarihi
Matematik,Ahmet Yılmaz,2024-12-15,final sınavı tarihi
Fizik,Elif Aksoy,2024-11-20,vize sınav tarihi
Fizik,Elif Aksoy,2024-01-15,final sınavı tarihi
Bilgisayar Bilimleri,Can Demir,2024-12-22,proje teslim tarihi
İşletim Sistemleri,Beren Sevgi,2024-10-10,vize sınavı tarihi
İşletim Sistemleri,Beren Sevgi,2024-12-26,final sınavı tarihi
Programlama Dilleri,Ahmet Karan,2024-11-02,vize sınavı
Programlama Dilleri,Ahmet Karan,2025-14-01,final sınavı tarihi
Programlama Dilleri,Ahmet Karan,2024-09-30,sunum tarihi
Veri Yapıları,Kerem Demircan,2024-10-16,proje teslim tarihi
Veri Yapıları,Kerem Demircan,2024-10-15,vize sınavı tarihi
Veri Yapıları,Kerem Demircan,2025-01-05,final sınavı tarihi
Bilgisayar Mimarisi,Nazlı Sevcan,2024-11-09,vize sınav tarihi
Bilgisayar Mimarisi,Nazlı Sevcan,2025-01-09,final sınavı tarihi
Olasılık Teorisi,Metin Dalbudak,2024-10-29,vize tarihi
Olasılık Teorisi,Metin Dalbudak,2024-12-29,final sınavı tarihi
Programlama Tekniklerine Giriş,Acun Kızılçam,2024-10-21,vize sınavı tarihi
Programlama Tekniklerine Giriş,Acun Kızılçam,2024-12-21,final sınavı tarihi
Bilgisayar Mühendisliğine Giriş,Zehra Kabay,2025-11-10,vize sınavı tarihi
Bilgisayar Mühendisliğine Giriş,Zehra Kabay,2025-01-11,Final sınavı tarihi
Nümerik Analiz,Meryem Kozlay,2025-01-12,proje tarihi
Nümerik Analiz,Meryem Kozlay,2025-01-13,final sınavı tarihi
Nümerik Analiz,Meryem Kozlay,2024-10-12, vize sınav tarihi
İşletim Sistemleri,Beren Sevgi,-,İşletim sistemlerinin genel konusu/içeriği threadler'dir.
